candidate_id,candidate_file_sha256,work_id,source_edition_id,translation_source_id,book,segment_index,target_paragraph,proposed_source_start_ref,proposed_source_end_ref,proposed_source_line_count,review_decision,reviewed_source_start_ref,reviewed_source_end_ref,reviewer,reviewed_at,review_notes,source_text,target_text,review_status,paper_facing_eligible,analysis_status
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-001,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,1,1,3.1,3.8,8,,,,,,,"αὐτὰρ ἐπεὶ κόσμηθεν ἅμʼ ἡγεμόνεσσιν ἕκαστοι,
Τρῶες μὲν κλαγγῇ τʼ ἐνοπῇ τʼ ἴσαν ὄρνιθες ὣς
ἠΰτε περ κλαγγὴ γεράνων πέλει οὐρανόθι πρό·
αἵ τʼ ἐπεὶ οὖν χειμῶνα φύγον καὶ ἀθέσφατον ὄμβρον
κλαγγῇ ταί γε πέτονται ἐπʼ ὠκεανοῖο ῥοάων
ἀνδράσι Πυγμαίοισι φόνον καὶ κῆρα φέρουσαι·
ἠέριαι δʼ ἄρα ταί γε κακὴν ἔριδα προφέρονται.
οἳ δʼ ἄρʼ ἴσαν σιγῇ μένεα πνείοντες Ἀχαιοὶ","When the companies were thus arrayed, each under its own captain,
      the Trojans advanced as a flight of wild-fowl or cranes that
      scream overhead when rain and winter drive them over the flowing
      waters of Oceanus to bring death and destruction on the Pygmies,
      and they wrangle in the air as they fly; but the Achaeans marched
      silently, in high heart, and minded to stand by one another.",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-002,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,2,2,3.9,3.14,6,,,,,,,"ἐν θυμῷ μεμαῶτες ἀλεξέμεν ἀλλήλοισιν.
εὖτʼ ὄρεος κορυφῇσι Νότος κατέχευεν ὀμίχλην
ποιμέσιν οὔ τι φίλην, κλέπτῃ δέ τε νυκτὸς ἀμείνω,
τόσσόν τίς τʼ ἐπιλεύσσει ὅσον τʼ ἐπὶ λᾶαν ἵησιν·
ὣς ἄρα τῶν ὑπὸ ποσσὶ κονίσαλος ὄρνυτʼ ἀελλὴς
ἐρχομένων· μάλα δʼ ὦκα διέπρησσον πεδίοιο.","As when the south wind spreads a curtain of mist upon the
      mountain tops, bad for shepherds but better than night for
      thieves, and a man can see no further than he can throw a stone,
      even so rose the dust from under their feet as they made all
      speed over the plain.",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-003,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,3,3,3.15,3.29,15,,,,,,,"οἳ δʼ ὅτε δὴ σχεδὸν ἦσαν ἐπʼ ἀλλήλοισιν ἰόντες,
Τρωσὶν μὲν προμάχιζεν Ἀλέξανδρος θεοειδὴς
παρδαλέην ὤμοισιν ἔχων καὶ καμπύλα τόξα
καὶ ξίφος· αὐτὰρ δοῦρε δύω κεκορυθμένα χαλκῷ
πάλλων Ἀργείων προκαλίζετο πάντας ἀρίστους
ἀντίβιον μαχέσασθαι ἐν αἰνῇ δηϊοτῆτι.
τὸν δʼ ὡς οὖν ἐνόησεν ἀρηΐφιλος Μενέλαος
ἐρχόμενον προπάροιθεν ὁμίλου μακρὰ βιβάντα,
ὥς τε λέων ἐχάρη μεγάλῳ ἐπὶ σώματι κύρσας
εὑρὼν ἢ ἔλαφον κεραὸν ἢ ἄγριον αἶγα
πεινάων· μάλα γάρ τε κατεσθίει, εἴ περ ἂν αὐτὸν
σεύωνται ταχέες τε κύνες θαλεροί τʼ αἰζηοί·
ὣς ἐχάρη Μενέλαος Ἀλέξανδρον θεοειδέα
ὀφθαλμοῖσιν ἰδών· φάτο γὰρ τίσεσθαι ἀλείτην·
αὐτίκα δʼ ἐξ ὀχέων σὺν τεύχεσιν ἆλτο χαμᾶζε.","When they were close up with one another, Alexandrus came forward
      as champion on the Trojan side. On his shoulders he bore the skin
      of a panther, his bow, and his sword, and he brandished two
      spears shod with bronze as a challenge to the bravest of the
      Achaeans to meet him in single fight. Menelaus saw him thus
      stride out before the ranks, and was glad as a hungry lion that
      lights on the carcase of some goat or horned stag, and devours it
      there and then, though dogs and youths set upon him. Even thus
      was Menelaus glad when his eyes caught sight of Alexandrus, for
      he deemed that now he should be revenged. He sprang, therefore,
      from his chariot, clad in his suit of armour.",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-004,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,4,4,3.30,3.35,6,,,,,,,"τὸν δʼ ὡς οὖν ἐνόησεν Ἀλέξανδρος θεοειδὴς
ἐν προμάχοισι φανέντα, κατεπλήγη φίλον ἦτορ,
ἂψ δʼ ἑτάρων εἰς ἔθνος ἐχάζετο κῆρʼ ἀλεείνων.
ὡς δʼ ὅτε τίς τε δράκοντα ἰδὼν παλίνορσος ἀπέστη
οὔρεος ἐν βήσσῃς, ὑπό τε τρόμος ἔλλαβε γυῖα,
ἂψ δʼ ἀνεχώρησεν, ὦχρός τέ μιν εἷλε παρειάς,","Alexandrus quailed as he saw Menelaus come forward, and shrank in
      fear of his life under cover of his men. As one who starts back
      affrighted, trembling and pale, when he comes suddenly upon a
      serpent in some mountain glade, even so did Alexandrus plunge
      into the throng of Trojan warriors, terror-stricken at the sight
      of the son of Atreus.",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-005,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,5,5,3.36,3.59,24,,,,,,,"ὣς αὖτις καθʼ ὅμιλον ἔδυ Τρώων ἀγερώχων
δείσας Ἀτρέος υἱὸν Ἀλέξανδρος θεοειδής.
τὸν δʼ Ἕκτωρ νείκεσσεν ἰδὼν αἰσχροῖς ἐπέεσσιν·
Δύσπαρι εἶδος ἄριστε γυναιμανὲς ἠπεροπευτὰ
αἴθʼ ὄφελες ἄγονός τʼ ἔμεναι ἄγαμός τʼ ἀπολέσθαι·
καί κε τὸ βουλοίμην, καί κεν πολὺ κέρδιον ἦεν
ἢ οὕτω λώβην τʼ ἔμεναι καὶ ὑπόψιον ἄλλων.
ἦ που καγχαλόωσι κάρη κομόωντες Ἀχαιοὶ
φάντες ἀριστῆα πρόμον ἔμμεναι, οὕνεκα καλὸν
εἶδος ἔπʼ, ἀλλʼ οὐκ ἔστι βίη φρεσὶν οὐδέ τις ἀλκή.
ἦ τοιόσδε ἐὼν ἐν ποντοπόροισι νέεσσι
πόντον ἐπιπλώσας, ἑτάρους ἐρίηρας ἀγείρας,
μιχθεὶς ἀλλοδαποῖσι γυναῖκʼ εὐειδέʼ ἀνῆγες
ἐξ ἀπίης γαίης νυὸν ἀνδρῶν αἰχμητάων
πατρί τε σῷ μέγα πῆμα πόληΐ τε παντί τε δήμῳ,
δυσμενέσιν μὲν χάρμα, κατηφείην δὲ σοὶ αὐτῷ;
οὐκ ἂν δὴ μείνειας ἀρηΐφιλον Μενέλαον;
γνοίης χʼ οἵου φωτὸς ἔχεις θαλερὴν παράκοιτιν·
οὐκ ἄν τοι χραίσμῃ κίθαρις τά τε δῶρʼ Ἀφροδίτης
ἥ τε κόμη τό τε εἶδος ὅτʼ ἐν κονίῃσι μιγείης.
ἀλλὰ μάλα Τρῶες δειδήμονες· ἦ τέ κεν ἤδη
λάϊνον ἕσσο χιτῶνα κακῶν ἕνεχʼ ὅσσα ἔοργας.
τὸν δʼ αὖτε προσέειπεν Ἀλέξανδρος θεοειδής·
Ἕκτορ ἐπεί με κατʼ αἶσαν ἐνείκεσας οὐδʼ ὑπὲρ αἶσαν·","Then Hector upbraided him. “Paris,” said he, “evil-hearted Paris,
      fair to see, but woman-mad, and false of tongue, would that you
      had never been born, or that you had died unwed. Better so, than
      live to be disgraced and looked askance at. Will not the Achaeans
      mock at us and say that we have sent one to champion us who is
      fair to see but who has neither wit nor courage? Did you not,
      such as you are, get your following together and sail beyond the
      seas? Did you not from your a far country carry off a lovely
      woman wedded among a people of warriors—to bring sorrow upon your
      father, your city, and your whole country, but joy to your
      enemies, and hang-dog shamefacedness to yourself? And now can you
      not dare face Menelaus and learn what manner of man he is whose
      wife you have stolen? Where indeed would be your lyre and your
      love-tricks, your comely locks and your fair favour, when you
      were lying in the dust before him? The Trojans are a weak-kneed
      people, or ere this you would have had a shirt of stones for the
      wrongs you have done them.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-006,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,6,6,3.60,3.78,19,,,,,,,"αἰεί τοι κραδίη πέλεκυς ὥς ἐστιν ἀτειρὴς
ὅς τʼ εἶσιν διὰ δουρὸς ὑπʼ ἀνέρος ὅς ῥά τε τέχνῃ
νήϊον ἐκτάμνῃσιν, ὀφέλλει δʼ ἀνδρὸς ἐρωήν·
ὣς σοὶ ἐνὶ στήθεσσιν ἀτάρβητος νόος ἐστί·
μή μοι δῶρʼ ἐρατὰ πρόφερε χρυσέης Ἀφροδίτης·
οὔ τοι ἀπόβλητʼ ἐστὶ θεῶν ἐρικυδέα δῶρα
ὅσσά κεν αὐτοὶ δῶσιν, ἑκὼν δʼ οὐκ ἄν τις ἕλοιτο·
νῦν αὖτʼ εἴ μʼ ἐθέλεις πολεμίζειν ἠδὲ μάχεσθαι,
ἄλλους μὲν κάθισον Τρῶας καὶ πάντας Ἀχαιούς,
αὐτὰρ ἔμʼ ἐν μέσσῳ καὶ ἀρηΐφιλον Μενέλαον
συμβάλετʼ ἀμφʼ Ἑλένῃ καὶ κτήμασι πᾶσι μάχεσθαι·
ὁππότερος δέ κε νικήσῃ κρείσσων τε γένηται,
κτήμαθʼ ἑλὼν εὖ πάντα γυναῖκά τε οἴκαδʼ ἀγέσθω·
οἳ δʼ ἄλλοι φιλότητα καὶ ὅρκια πιστὰ ταμόντες
ναίοιτε Τροίην ἐριβώλακα, τοὶ δὲ νεέσθων
Ἄργος ἐς ἱππόβοτον καὶ Ἀχαιΐδα καλλιγύναικα.
ὣς ἔφαθʼ, Ἕκτωρ δʼ αὖτʼ ἐχάρη μέγα μῦθον ἀκούσας,
καί ῥʼ ἐς μέσσον ἰὼν Τρώων ἀνέεργε φάλαγγας
μέσσου δουρὸς ἑλών· τοὶ δʼ ἱδρύνθησαν ἅπαντες.","And Alexandrus answered, “Hector, your rebuke is just. You are
      hard as the axe which a shipwright wields at his work, and
      cleaves the timber to his liking. As the axe in his hand, so keen
      is the edge of your scorn. Still, taunt me not with the gifts
      that golden Venus has given me; they are precious; let not a man
      disdain them, for the gods give them where they are minded, and
      none can have them for the asking. If you would have me do battle
      with Menelaus, bid the Trojans and Achaeans take their seats,
      while he and I fight in their midst for Helen and all her wealth.
      Let him who shall be victorious and prove to be the better man
      take the woman and all she has, to bear them to his home, but let
      the rest swear to a solemn covenant of peace whereby you Trojans
      shall stay here in Troy, while the others go home to Argos and
      the land of the Achaeans.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-007,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,7,7,3.79,3.85,7,,,,,,,"τῷ δʼ ἐπετοξάζοντο κάρη κομόωντες Ἀχαιοὶ
ἰοῖσίν τε τιτυσκόμενοι λάεσσί τʼ ἔβαλλον·
αὐτὰρ ὃ μακρὸν ἄϋσεν ἄναξ ἀνδρῶν Ἀγαμέμνων·
ἴσχεσθʼ Ἀργεῖοι, μὴ βάλλετε κοῦροι Ἀχαιῶν·
στεῦται γάρ τι ἔπος ἐρέειν κορυθαίολος Ἕκτωρ.
ὣς ἔφαθʼ, οἳ δʼ ἔσχοντο μάχης ἄνεῴ τʼ ἐγένοντο
ἐσσυμένως· Ἕκτωρ δὲ μετʼ ἀμφοτέροισιν ἔειπε·","When Hector heard this he was glad, and went about among the
      Trojan ranks holding his spear by the middle to keep them back,
      and they all sat down at his bidding: but the Achaeans still
      aimed at him with stones and arrows, till Agamemnon shouted to
      them saying, “Hold, Argives, shoot not, sons of the Achaeans;
      Hector desires to speak.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-008,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,8,8,3.86,3.96,11,,,,,,,"κέκλυτέ μευ Τρῶες καὶ ἐϋκνήμιδες Ἀχαιοὶ
μῦθον Ἀλεξάνδροιο, τοῦ εἵνεκα νεῖκος ὄρωρεν.
ἄλλους μὲν κέλεται Τρῶας καὶ πάντας Ἀχαιοὺς
τεύχεα κάλʼ ἀποθέσθαι ἐπὶ χθονὶ πουλυβοτείρῃ,
αὐτὸν δʼ ἐν μέσσῳ καὶ ἀρηΐφιλον Μενέλαον
οἴους ἀμφʼ Ἑλένῃ καὶ κτήμασι πᾶσι μάχεσθαι.
ὁππότερος δέ κε νικήσῃ κρείσσων τε γένηται
κτήμαθʼ ἑλὼν εὖ πάντα γυναῖκά τε οἴκαδʼ ἀγέσθω·
οἳ δʼ ἄλλοι φιλότητα καὶ ὅρκια πιστὰ τάμωμεν.
ὣς ἔφαθʼ, οἳ δʼ ἄρα πάντες ἀκὴν ἐγένοντο σιωπῇ·
τοῖσι δὲ καὶ μετέειπε βοὴν ἀγαθὸς Μενέλαος·","They ceased taking aim and were still, whereon Hector spoke.
      “Hear from my mouth,” said he, “Trojans and Achaeans, the saying
      of Alexandrus, through whom this quarrel has come about. He bids
      the Trojans and Achaeans lay their armour upon the ground, while
      he and Menelaus fight in the midst of you for Helen and all her
      wealth. Let him who shall be victorious and prove to be the
      better man take the woman and all she has, to bear them to his
      own home, but let the rest swear to a solemn covenant of peace.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-009,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,9,9,3.97,3.115,19,,,,,,,"κέκλυτε νῦν καὶ ἐμεῖο· μάλιστα γὰρ ἄλγος ἱκάνει
θυμὸν ἐμόν, φρονέω δὲ διακρινθήμεναι ἤδη
Ἀργείους καὶ Τρῶας, ἐπεὶ κακὰ πολλὰ πέπασθε
εἵνεκʼ ἐμῆς ἔριδος καὶ Ἀλεξάνδρου ἕνεκʼ ἀρχῆς·
ἡμέων δʼ ὁπποτέρῳ θάνατος καὶ μοῖρα τέτυκται
τεθναίη· ἄλλοι δὲ διακρινθεῖτε τάχιστα.
οἴσετε ἄρνʼ, ἕτερον λευκόν, ἑτέρην δὲ μέλαιναν,
Γῇ τε καὶ Ἠελίῳ· Διὶ δʼ ἡμεῖς οἴσομεν ἄλλον·
ἄξετε δὲ Πριάμοιο βίην, ὄφρʼ ὅρκια τάμνῃ
αὐτός, ἐπεί οἱ παῖδες ὑπερφίαλοι καὶ ἄπιστοι,
μή τις ὑπερβασίῃ Διὸς ὅρκια δηλήσηται.
αἰεὶ δʼ ὁπλοτέρων ἀνδρῶν φρένες ἠερέθονται·
οἷς δʼ ὁ γέρων μετέῃσιν ἅμα πρόσσω καὶ ὀπίσσω
λεύσσει, ὅπως ὄχʼ ἄριστα μετʼ ἀμφοτέροισι γένηται.
ὣς ἔφαθʼ, οἳ δʼ ἐχάρησαν Ἀχαιοί τε Τρῶές τε
ἐλπόμενοι παύσασθαι ὀϊζυροῦ πολέμοιο.
καί ῥʼ ἵππους μὲν ἔρυξαν ἐπὶ στίχας, ἐκ δʼ ἔβαν αὐτοί,
τεύχεά τʼ ἐξεδύοντο· τὰ μὲν κατέθεντʼ ἐπὶ γαίῃ
πλησίον ἀλλήλων, ὀλίγη δʼ ἦν ἀμφὶς ἄρουρα·","Thus he spoke, and they all held their peace, till Menelaus of
      the loud battle-cry addressed them. “And now,” he said, “hear me
      too, for it is I who am the most aggrieved. I deem that the
      parting of Achaeans and Trojans is at hand, as well it may be,
      seeing how much have suffered for my quarrel with Alexandrus and
      the wrong he did me. Let him who shall die, die, and let the
      others fight no more. Bring, then, two lambs, a white ram and a
      black ewe, for Earth and Sun, and we will bring a third for Jove.
      Moreover, you shall bid Priam come, that he may swear to the
      covenant himself; for his sons are high-handed and ill to trust,
      and the oaths of Jove must not be transgressed or taken in vain.
      Young men’s minds are light as air, but when an old man comes he
      looks before and after, deeming that which shall be fairest upon
      both sides.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03--segment-010,be16a807d5d4704c3e8bd1fc9e04a5fa71e014a7ebf71890b3cbd661d6434ec8,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,10,10,3.116,3.125,10,,,,,,,"Ἕκτωρ δὲ προτὶ ἄστυ δύω κήρυκας ἔπεμπε
καρπαλίμως ἄρνάς τε φέρειν Πρίαμόν τε καλέσσαι·
αὐτὰρ ὃ Ταλθύβιον προΐει κρείων Ἀγαμέμνων
νῆας ἔπι γλαφυρὰς ἰέναι, ἠδʼ ἄρνʼ ἐκέλευεν
οἰσέμεναι· ὃ δʼ ἄρʼ οὐκ ἀπίθησʼ Ἀγαμέμνονι δίῳ.
Ἶρις δʼ αὖθʼ Ἑλένῃ λευκωλένῳ ἄγγελος ἦλθεν
εἰδομένη γαλόῳ Ἀντηνορίδαο δάμαρτι,
τὴν Ἀντηνορίδης εἶχε κρείων Ἑλικάων
Λαοδίκην Πριάμοιο θυγατρῶν εἶδος ἀρίστην.
τὴν δʼ εὗρʼ ἐν μεγάρῳ· ἣ δὲ μέγαν ἱστὸν ὕφαινε","The Trojans and Achaeans were glad when they heard this, for they
      thought that they should now have rest. They backed their
      chariots toward the ranks, got out of them, and put off their
      armour, laying it down upon the ground; and the hosts were near
      to one another with a little space between them. Hector sent two
      messengers to the city to bring the lambs and to bid Priam come,
      while Agamemnon told Talthybius to fetch the other lamb from the
      ships, and he did as Agamemnon had said.",pending_human_review,no,excluded_until_completed_review
